web-scraper-order,web-scraper-start-url,category_women,category_women-href,category_men,category_men-href,category_kids,category_kids-href,product,product-href,name,price,description,image_url-src,product_men,product_men-href,name_men,price_men,description_men,image_url_men-src,product_women,product_women-href,name_women,price_women,description_women,image_url_women-src
"1769175787-1","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/man/clothing/sportswear-c1030267580.html","NEW","https://www.lefties.com/tn/man/clothing/sportswear/basic-cap-c1030267580p720275620.html?colorId=719&style=01&parentId=737677580","Basic cap","39.90 TND","Basic colored cap with a curved visor. It features a hook-and-loop strap at the back in the same tone for a better fit.","https://static.lefties.com/assets/public/faef/ef8f/83a543099eea/fbefeaba704f/01320523719-01-A9/01320523719-01-A9.jpg?ts=1768914216057&w=400&f=auto","","","","","","","","","","","",""
"1769175790-2","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/man/clothing/sportswear-c1030267580.html","NEW
			
										
								
								5-PACK","https://www.lefties.com/tn/man/clothing/sportswear/long-ribbed-sports-socks-%28pack-5%29-c1030267580p720249906.html?colorId=800&style=01&parentId=737678111","Long ribbed sports socks (Pack 5)","49.90 TND","Pack of 5 pairs of long sports socks made of ribbed fabric that adapts to the foot.","https://static.lefties.com/assets/public/fd39/a741/3de145b2bb21/40163e3cb6e2/05264517800-A6/05264517800-A6.jpg?ts=1753436523102&w=400&f=auto","","","","","","","","","","","",""
"1769175793-3","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/man/clothing/sportswear-c1030267580.html","NEW
			
										
								
								5-PACK","https://www.lefties.com/tn/man/clothing/sportswear/long-ribbed-sports-socks-%28pack-5%29-c1030267580p720249906.html?colorId=250&style=01&parentId=729899037","Long ribbed sports socks (Pack 5)","49.90 TND","Pack of 5 pairs of long sports socks made of ribbed fabric that adapts to the foot.","https://static.lefties.com/assets/public/c8b5/2b9a/28ab41c69433/ef9e72fcf5c1/05264517250-A6/05264517250-A6.jpg?ts=1753436522350&w=400&f=auto","","","","","","","","","","","",""
"1769175795-4","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/man/clothing/sportswear-c1030267580.html","NEW","https://www.lefties.com/tn/man/clothing/sportswear/basic-cap-c1030267580p720252176.html?colorId=800&parentId=720255073","Basic cap","39.90 TND","Basic cap with a curved peak and an adjustable hook-and-loop strap at the back.","https://static.lefties.com/assets/public/c41b/e054/06b4447e8e09/ba3b06ff3f97/01320514800-A1/01320514800-A1.jpg?ts=1765296723374&w=400&f=auto","","","","","","","","","","","",""
"1769175798-5","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/man/clothing/sportswear-c1030267580.html","NEW","https://www.lefties.com/tn/man/clothing/sportswear/hooded-fleece-sports-jacket-c1030267580p720256737.html?colorId=825&parentId=720263468","Hooded fleece sports jacket","149.00 TND","Jacket with an adjustable hood and long sleeve finished with elastic cuffs and a front zip fastening. Features zip pockets on the chest and hips. Adjustable hem with elastic. It's a regular fit and is made of sports fabric with a fleece lining.","https://static.lefties.com/assets/public/1993/cdc5/1b59473dbbd8/7c2fd65209d9/01810550825-A1/01810550825-A1.jpg?ts=1762763389053&w=400&f=auto","","","","","","","","","","","",""
"1769175801-6","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/man/clothing/sportswear-c1030267580.html","NEW","https://www.lefties.com/tn/man/clothing/sportswear/hooded-fleece-sports-jacket-c1030267580p720256737.html?colorId=825&style=03&parentId=736355662","Hooded fleece sports jacket","149.00 TND","Jacket with an adjustable hood and long sleeve finished with elastic cuffs and a front zip fastening. Features zip pockets on the chest and hips. Adjustable hem with elastic. It's a regular fit and is made of sports fabric with a fleece lining.","https://static.lefties.com/assets/public/c541/7e67/80b343dea938/d6b0430e6e91/01810550825-03-A9/01810550825-03-A9.jpg?ts=1768913541459&w=400&f=auto","","","","","","","","","","","",""
"1769175803-7","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/man/clothing/sportswear-c1030267580.html","NEW","https://www.lefties.com/tn/man/clothing/sportswear/hooded-fleece-sports-jacket-c1030267580p720256737.html?colorId=825&style=04&parentId=736355666","Hooded fleece sports jacket","149.00 TND","Jacket with an adjustable hood and long sleeve finished with elastic cuffs and a front zip fastening. Features zip pockets on the chest and hips. Adjustable hem with elastic. It's a regular fit and is made of sports fabric with a fleece lining.","https://static.lefties.com/assets/public/4448/f8b9/409a4006badf/eda06c41e92b/01810550825-04-A9/01810550825-04-A9.jpg?ts=1768914036643&w=400&f=auto","","","","","","","","","","","",""
"1769175805-8","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/man/clothing/sportswear-c1030267580.html","NEW","https://www.lefties.com/tn/man/clothing/sportswear/gym-sneakers-c1030267580p720248296.html?colorId=004&parentId=720254460","Gym sneakers","89.90 TND","Men's athletic shoe. Available in various colors. Tone-on-tone lace-up closure. Contrast sole.","https://static.lefties.com/assets/public/840e/73eb/191a469ba7b6/b68ee8b09618/12206690004-A1/12206690004-A1.jpg?ts=1757408224510&w=400&f=auto","","","","","","","","","","","",""
"1769175808-9","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/man/clothing/sportswear-c1030267580.html","NEW","https://www.lefties.com/tn/man/clothing/sportswear/hooded-fleece-sports-jacket-c1030267580p720256737.html?colorId=541&parentId=720263462","Hooded fleece sports jacket","149.00 TND","Jacket with an adjustable hood and long sleeve finished with elastic cuffs and a front zip fastening. Features zip pockets on the chest and hips. Adjustable hem with elastic. It's a regular fit and is made of sports fabric with a fleece lining.","https://static.lefties.com/assets/public/3997/9e9a/434841d48c9e/55245393c9f2/01810550541-A1/01810550541-A1.jpg?ts=1762763391423&w=400&f=auto","","","","","","","","","","","",""
"1769175811-10","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/man/clothing/sportswear-c1030267580.html","NEW","https://www.lefties.com/tn/man/clothing/sportswear/gym-sneakers-c1030267580p720248296.html?colorId=004&style=03&parentId=737677565","Gym sneakers","89.90 TND","Men's athletic shoe. Available in various colors. Tone-on-tone lace-up closure. Contrast sole.","https://static.lefties.com/assets/public/4eb8/5020/a48940b8ad05/99b5e6be2f95/1220669000403-A7/1220669000403-A7.jpg?ts=1768908917299&w=400&f=auto","","","","","","","","","","","",""
