web-scraper-order,web-scraper-start-url,category_women,category_women-href,category_men,category_men-href,category_kids,category_kids-href,product,product-href,name,price,description,image_url-src,product_men,product_men-href,name_men,price_men,description_men,image_url_men-src,product_women,product_women-href,name_women,price_women,description_women,image_url_women-src
"1769175540-1","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","","https://www.lefties.com/tn/woman/clothing/knitwear/long-foamy-sweater-c1030267524p730010828.html?colorId=321&style=03&parentId=731559262","Long foamy sweater","89.90 TND","Long sleeve sweater with a round neck. Relaxed fit. Made of foamy knit fabric.","https://static.lefties.com/assets/public/780a/a1a2/b815425f97f6/4c18ed344824/01600319321-A1/01600319321-A1.jpg?ts=1766389927105&w=400&f=auto","","","","","","","","","","","",""
"1769175543-2","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","NEW","https://www.lefties.com/tn/woman/clothing/knitwear/long-foamy-sweater-c1030267524p730010828.html?colorId=321&style=02&parentId=731559243","Long foamy sweater","89.90 TND","Long sleeve sweater with a round neck. Relaxed fit. Made of foamy knit fabric.","https://static.lefties.com/assets/public/f00e/2965/67ff4c35982e/814e476d0c39/01600319321-02-A9/01600319321-02-A9.jpg?ts=1767867006085&w=400&f=auto","","","","","","","","","","","",""
"1769175545-3","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","NEW","https://www.lefties.com/tn/woman/clothing/knitwear/long-foamy-sweater-c1030267524p730010828.html?colorId=401&parentId=720282166","Long foamy sweater","89.90 TND","Long sleeve sweater with a round neck. Relaxed fit. Made of foamy knit fabric.","https://static.lefties.com/assets/public/370d/0969/156c410dbee4/0f3650c329e0/01600319401-A1/01600319401-A1.jpg?ts=1766389929814&w=400&f=auto","","","","","","","","","","","",""
"1769175548-4","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","NEW","https://www.lefties.com/tn/woman/clothing/knitwear/long-foamy-sweater-c1030267524p730010828.html?colorId=043&parentId=720282172","Long foamy sweater","89.90 TND","Long sleeve sweater with a round neck. Relaxed fit. Made of foamy knit fabric.","https://static.lefties.com/assets/public/f738/a411/e5cb4c278dd0/1d1967d7b359/01600319043-A1/01600319043-A1.jpg?ts=1766389923739&w=400&f=auto","","","","","","","","","","","",""
"1769175550-5","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","","https://www.lefties.com/tn/woman/clothing/knitwear/foamy-knit-sweater-c1030267524p730001240.html?colorId=803&style=01&parentId=731559267","Foamy knit sweater","89.90 TND","long sleeve V-neck sweater. It has a straight cut and is made of a foamy knit fabric.","https://static.lefties.com/assets/public/0530/c4ac/12f3450da24b/30af4a9ab51e/05604348803-A1/05604348803-A1.jpg?ts=1762156506327&w=400&f=auto","","","","","","","","","","","",""
"1769175553-6","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","","https://www.lefties.com/tn/woman/clothing/knitwear/foamy-knit-sweater-c1030267524p730001240.html?colorId=806&style=02&parentId=731559266","Foamy knit sweater","89.90 TND","long sleeve V-neck sweater. It has a straight cut and is made of a foamy knit fabric.","https://static.lefties.com/assets/public/4c00/b974/7b3e4d5f86ed/5729b655fa90/01600313806-A3/01600313806-A3.jpg?ts=1763126807115&w=400&f=auto","","","","","","","","","","","",""
"1769175555-7","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","","https://www.lefties.com/tn/woman/clothing/knitwear/foamy-knit-sweater-c1030267524p730001240.html?colorId=801&style=01&parentId=732133877","Foamy knit sweater","89.90 TND","long sleeve V-neck sweater. It has a straight cut and is made of a foamy knit fabric.","https://static.lefties.com/assets/public/4273/57f0/a7a14c3ba8a2/217aae7373fa/05604348801-A5/05604348801-A5.jpg?ts=1762156504391&w=400&f=auto","","","","","","","","","","","",""
"1769175558-8","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","","https://www.lefties.com/tn/woman/clothing/knitwear/foamy-knit-sweater-c1030267524p730001240.html?colorId=070&style=01&parentId=732133876","Foamy knit sweater","89.90 TND","long sleeve V-neck sweater. It has a straight cut and is made of a foamy knit fabric.","https://static.lefties.com/assets/public/9216/a44b/3b1748a591bf/3845d260466d/01600317070-a6/01600317070-a6.jpg?ts=1767883541933&w=400&f=auto","","","","","","","","","","","",""
"1769175560-9","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","NEW","https://www.lefties.com/tn/woman/clothing/knitwear/long-foamy-sweater-c1030267524p730010828.html?colorId=321&style=01&parentId=731559242","Long foamy sweater","89.90 TND","Long sleeve sweater with a round neck. Relaxed fit. Made of foamy knit fabric.","https://static.lefties.com/assets/public/0366/95a7/f3a546b09dd6/70ea18adf9ba/01600319321-01-A9/01600319321-01-A9.jpg?ts=1767869234193&w=400&f=auto","","","","","","","","","","","",""
"1769175563-10","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","NEW","https://www.lefties.com/tn/woman/clothing/knitwear/roll-neck-sweater-c1030267524p729935167.html?colorId=911&style=01&parentId=732133829","Roll neck sweater","69.90 TND","Long sleeve roll neck sweater with ribbed knit trim on the cuffs and hem. Features metal button detail on the cuff. Made of knit fabric.","https://static.lefties.com/assets/public/b26b/dd82/dba84f3db2ca/28d236c5bdea/01600311911-01-A9/01600311911-01-A9.jpg?ts=1767866647279&w=400&f=auto","","","","","","","","","","","",""
"1769175566-11","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","","https://www.lefties.com/tn/woman/clothing/knitwear/foamy-jacket-c1030267524p729933863.html?colorId=705&parentId=720263948","Foamy jacket","69.90 TND","Long sleeve jacket with a round neck. Straight cut. Made of a foamy knit fabric.","https://static.lefties.com/assets/public/a129/b75c/90fe4f7faaf0/39875dfd0f59/01660303705-A1/01660303705-A1.jpg?ts=1765470226461&w=400&f=auto","","","","","","","","","","","",""
"1769175569-12","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","NEW","https://www.lefties.com/tn/woman/clothing/knitwear/sparkling-knit-jacket-c1030267524p729975867.html?colorId=687&parentId=720273434","Sparkling knit jacket","89.90 TND","Long sleeve, round neck jacket. Features a button-up front and ruffle trim. It has a straight cut. Made of a sparkling knit fabric.","https://static.lefties.com/assets/public/d3d1/f51d/87b44ae3a929/aa661ca0f074/01660301687-A1/01660301687-A1.jpg?ts=1765810282327&w=400&f=auto","","","","","","","","","","","",""
"1769175572-13","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","NEW","https://www.lefties.com/tn/woman/clothing/knitwear/sparkling-knit-jacket-c1030267524p729975867.html?colorId=716&parentId=720273438","Sparkling knit jacket","89.90 TND","Long sleeve, round neck jacket. Features a button-up front and ruffle trim. It has a straight cut. Made of a sparkling knit fabric.","https://static.lefties.com/assets/public/c8c8/b7eb/6fb14ff782e6/dfd9c6540e74/01660301716-A1/01660301716-A1.jpg?ts=1765810372235&w=400&f=auto","","","","","","","","","","","",""
"1769175574-14","https://www.lefties.com/tn/","","","","","View now","https://www.lefties.com/tn/woman/clothing/knitwear-c1030267524.html","NEW","https://www.lefties.com/tn/woman/clothing/knitwear/long-foamy-sweater-c1030267524p730010828.html?colorId=043&style=02&parentId=735783418","Long foamy sweater","89.90 TND","Long sleeve sweater with a round neck. Relaxed fit. Made of foamy knit fabric.","https://static.lefties.com/assets/public/f738/a411/e5cb4c278dd0/1d1967d7b359/01600319043-A1/01600319043-A1.jpg?ts=1766389923739&w=400&f=auto","","","","","","","","","","","",""
