web-scraper-order,web-scraper-start-url,category_link,category_link-href,product_link,product_link-href,name,price,description,brand,image_url-src
"1769172955-1","https://www.mytek.tn/?srsltid=AfmBOorUF8V15Ux16W9yQjs1UW9DZv2mcC5BKSv12S7FHB3SzEhk6VHR","Equipement de Conférence","https://www.mytek.tn/informatique/equipement-de-conference.html","Caméra de conférence tout-en-un LOGITECH MeetUp - Noir","https://www.mytek.tn/camera-de-conference-tout-en-un-logitech-meetup-noir.html","Caméra de conférence tout-en-un LOGITECH MeetUp - Noir","4 999,000 DT","Caméra de conférence tout-en-un LOGITECH MeetUp - Technologie de connectivité: Sans Fil (Bluetooth) - Interface: USB 2.0 (port et câble USB 3.0 requis pour la vidéo 4K) - Résolution: Ultra HD 4K (jusqu'à 3 840 x 2 160 pixels à 30 images/seconde ),Full HD 1080p,HD 720p - 1 caméra - Zoom: 5x HD et panoramique (+/- 25°) et inclinaison (+/- 15°) motorisés - Champ de vision: Diagonal: 120°, horizontal: 113°, vertical: 80.7° - 3 préréglages de position de la caméra - La technologie RightLight - La technologie RightSight - La technologie RightSound - 3 Microphone intégré - La technologie intégrée beamforming fonctionnent jusqu'à 4 mètres - AEC (Annulation de l'écho acoustique) ; DAV (Détecteur d'activité vocale) - Haut-parleur: Volume réglable à 95 dB SPL à un pic de 1/2 mètres - Sensibilité des haut-parleurs 86,5+/-3 dB SPL à 1/2 mètres - Distorsion: 200-300 Hz < 3%, 3 000 Hz -10KHz < 1% - Le boîtier de Haut parlleur anti-vibration améliore la clarté de la voix tout en limitant la transmission du son aux espaces adjacents - Avec Télécommande RF - Fixation sur table ou mur intégrée - Emplacement de sécurité Kensington - Dimensions: 104 x 400 x 85 mm - Poids: 1,04 kg - Couleur: Noir - Garantie: 1 an","LOGITECH","https://www.mytek.tn/media/catalog/product/c/a/camera-de-conference-tout-en-un-logitech-meetup-noir-4.jpg"
"1769172957-2","https://www.mytek.tn/?srsltid=AfmBOorUF8V15Ux16W9yQjs1UW9DZv2mcC5BKSv12S7FHB3SzEhk6VHR","Equipement de Conférence","https://www.mytek.tn/informatique/equipement-de-conference.html","Microphone modulable LOGITECH pour Rally Mic Pod - Noir","https://www.mytek.tn/microphone-modulable-logitech-pour-rally-mic-pod-noir.html","Microphone modulable LOGITECH pour Rally Mic Pod - Noir","2 559,000 DT","Microphone modulable LOGITECH pour Rally Mic Pod - Technologie de connectivité: Filaire - Interface: Sortie: Câble captif de 2,95 m à 12 broches / Entrée: Interface à 12 broches pour brancher les modules de micro en chaîne ou se connecter au hub pour module de micro Rally - Réponse en fréquence: 90 Hz – 16 kHz - Sensibilité: > -27 dB +/- 1 dB à 1Pa - Débit de données microphone: 48 kHz - Portée de détection: 4,5 mètres - Éléments Beamforming: 4 microphones omnidirectionnels formant huit faisceaux acoustiques - Traitement audio: AEC (Annulation de l’écho acoustique), DAV (Détecteur d’activité vocale) - Suppression du bruit: Filtre IA - La technologie RightSound™ égalise les voix, élimine les bruits de fond et supprime l’écho, rendant ainsi vos conversations remarquablement nettes et naturelles - Les matériaux avancés résistent aux empreintes digitales et aux taches - Un témoin lumineux - Les modules de micro peuvent être connectés en série dans les salles avec de longues tables - Dimensions: 21 x 102 x 102 mm - Couleur:  Graphite - Garantie: 1 an","LOGITECH","https://www.mytek.tn/media/catalog/product/m/i/microphone-modulable-logitech-pour-rally-mic-pod-noir-2.jpg"
"1769172959-3","https://www.mytek.tn/?srsltid=AfmBOorUF8V15Ux16W9yQjs1UW9DZv2mcC5BKSv12S7FHB3SzEhk6VHR","Equipement de Conférence","https://www.mytek.tn/informatique/equipement-de-conference.html","HUB LOGITECH pour Rally Mic Pod - Noir","https://www.mytek.tn/hub-logitech-pour-rally-mic-pod-noir.html","HUB LOGITECH pour Rally Mic Pod - Noir","1 759,000 DT","HUB LOGITECH pour Rally Mic Pod - Les concentrateurs de micro Rally Mic Pod offrent aux installateurs la possibilité de personnaliser le placement du microphone sur pratiquement toutes les tables de conférence Alternative à la connexion en guirlande de modules de micro les uns aux autres - Le concentrateur de micro Rally Mic Pod fournit trois connexions qui prennent en charge n'importe quelle combinaison de modules de micro ou de concentrateurs supplémentaires -  Le matériel de montage sous la table permet de dissimuler les câbles pour un look épuré - Compatibilité: Rallye, Rallye Plus, Rallye Bar ou Rallye Bar Mini - Câble captif: 2,95 mètres 12 broches - Dimensions: 16 x 102 x 102 mm - Couleur: Noir - Garantie: 1 an","LOGITECH","https://www.mytek.tn/media/catalog/product/h/u/hub-logitech-pour-rally-mic-pod-noir.jpg"
"1769172962-4","https://www.mytek.tn/?srsltid=AfmBOorUF8V15Ux16W9yQjs1UW9DZv2mcC5BKSv12S7FHB3SzEhk6VHR","Equipement de Conférence","https://www.mytek.tn/informatique/equipement-de-conference.html","Haut-parleur LOGITECH Rally pour Système ConferenceCam - Noir","https://www.mytek.tn/haut-parleur-logitech-rally-pour-systeme-conferencecam-noir.html","Haut-parleur LOGITECH Rally pour Système ConferenceCam - Noir","1 659,000 DT","Haut-parleur LOGITECH Rally pour Système ConferenceCam - Connectivité: Filaire - Interface: Mini XLR(2,95 mètres) - Transducteur haute performance de 76 mm avec aimant en terres rares - Volume du haut-parleur: 95 dB SPL @1 W, 100 dB SPL @7,5 W, +/-2 dB pour les deux à ½ mètre - Distorsion: 200 Hz–300 Hz < 2,5%, 300 Hz–10 kHz < 1%@7,5 W - Fréquence d’échantillonnage du haut-parleur: 48 KHz - Le système de suspension en instance de brevet élimine les vibrations induites par les tremblements de la caméra et les interférences audio - Avec les technologies RightSound™ qui éliminent presque entièrement la distorsion, l'écrêtage et les vibrations, le haut-parleur Rally facilite la compréhension de la parole tout en maintenant des niveaux de volume confortables dans toute la pièce - Dimensions: 103 x 449 x 80 mm - Couleur: Noir -  Garantie: 1 an","LOGITECH","https://www.mytek.tn/media/catalog/product/h/a/haut-parleur-logitech-rally-pour-systeme-conferencecam-noir.jpg"
"1769172964-5","https://www.mytek.tn/?srsltid=AfmBOorUF8V15Ux16W9yQjs1UW9DZv2mcC5BKSv12S7FHB3SzEhk6VHR","Equipement de Conférence","https://www.mytek.tn/informatique/equipement-de-conference.html","kit de Montage LOGITECH Pour Systeme de Visioconférence Rally - Noir","https://www.mytek.tn/kit-de-montage-logitech-pour-systeme-de-visioconference-rally-noir.html","kit de Montage LOGITECH Pour Systeme de Visioconférence Rally - Noir","1 579,000 DT","kit de Montage LOGITECH Pour Systeme de Visioconférence Rally - Réalisez une installation simplifiée de chaque composant du système Rally avec les supports et le matériel de montage fournis - Le support de caméra fournit un montage mural sécurisé et stable au-dessus ou au-dessous de l'écran, ou effectue une inversion intelligente pour les installations proches du plafond - Les deux supports qui fixent les haut-parleurs Rally de chaque côté de l’écran créent une apparence «flottante» élégante tout en permettant aux haut-parleurs de délivrer tout leur potentiel acoustique - Deux supports de hub ventilés offrent des options de montage polyvalentes pour positionner le hub d'écran et le hub de table sur un mur ou sous une table - le support Retenue de câble en deux pièces de monte près du hub d'écran et du hub de table pour que les câbles d'alimentation, d'audio/de vidéo et de données soient bien branchés - Dimensions: Support de haut-parleur: 36 x 266 x 8 mm/Support de caméra: 63 x 109 x 166 mm/ Support de hub de table ou d'écran: 12 x 164 x 115mm/ Collier de câble: 23 x 164 x 38 mm - Couleur: Noir - Garantie: 1 an.","LOGITECH","https://www.mytek.tn/media/catalog/product/k/i/kit-de-montage-logitech-pour-systeme-de-visioconference-rally-noir.jpg"
"1769172966-6","https://www.mytek.tn/?srsltid=AfmBOorUF8V15Ux16W9yQjs1UW9DZv2mcC5BKSv12S7FHB3SzEhk6VHR","Equipement de Conférence","https://www.mytek.tn/informatique/equipement-de-conference.html","Haut-parleur Speakerphone JABRA SPEAK2 75 Bluetooth - Gris","https://www.mytek.tn/haut-parleur-speakerphone-jabra-speak2-75-bluetooth-gris.html","Haut-parleur Speakerphone JABRA SPEAK2 75 Bluetooth - Gris","1 199,000 DT","Haut-parleur Speakerphone JABRA SPEAK2 75 - Connectivité: Filaire , Sans Fil - Interface de Connectivité: USB C ou USB A, Bluetooth (pour smartphone/tablette uniquement) - Portée Bluetooth: 30 mètres - Batterie lithium-ion rechargeable - Temps de charge (USB C/A 1 A): 2.5  heures - Temps de charge (USB C/A 0.5 A): 5  heures - Autonomie en conversation: 32 heures - Capacité de la batterie: 4700 mA - Taille du haut-parleur: 65 mm - Protection IP64 contre la poussière et l'eau - Rapport signal-bruit (SNR): 72 dB - Couleur: Gris - Garantie: 2 ans","JABRA","https://www.mytek.tn/media/catalog/product/h/a/haut-parleur-speakerphone-jabra-speak2-75-bluetooth-gris-f_1.jpg"
"1769172970-7","https://www.mytek.tn/?srsltid=AfmBOorUF8V15Ux16W9yQjs1UW9DZv2mcC5BKSv12S7FHB3SzEhk6VHR","Sacs Scolaires & Trousses","https://www.mytek.tn/informatique/sacs-scolaires-trousses.html","Sac à Dos Scolaire Lycée AMERICAIN TOURISTER UPBEAT PRO COATED MC9 - Noir","https://www.mytek.tn/sac-a-dos-scolaire-lycee-americain-tourister-upbeat-pro-coated-mc9-noir.html","Sac à Dos Scolaire Lycée AMERICAIN TOURISTER UPBEAT PRO COATED MC9 - Noir","279,000 DT","Sac à Dos Scolaire Lycée AMERICAIN TOURISTER UPBEAT PRO COATED MC9 - Sexe: Unisexe - Matière: 100% Polyester - Volume: 20 Litres - 1 x Compartiment principal - Poignée(s) haute(s) - Fermetures à glissière - 1 x poche frontale - Bandoulières ergonomiques - Porte-bouteille - Dimension: 42,5 x 28 x 23 cm - Poids: 0.4 Kg - Couleur: Noir","AMERICAN-TOURISTER",""
"1769172972-8","https://www.mytek.tn/?srsltid=AfmBOorUF8V15Ux16W9yQjs1UW9DZv2mcC5BKSv12S7FHB3SzEhk6VHR","Sacs Scolaires & Trousses","https://www.mytek.tn/informatique/sacs-scolaires-trousses.html","Sac à Dos Scolaire Lycée AMERICAIN TOURISTER Jungle","https://www.mytek.tn/sac-a-dos-scolaire-lycee-americain-tourister-jungle.html","Sac à Dos Scolaire Lycée AMERICAIN TOURISTER Jungle","279,000 DT","Sac à Dos Scolaire Lycée AMERICAIN TOURISTER Jungle  - Sexe: Unisexe - Matière: 100% R-PET Polyester - Volume: 23 Litres - Fermetures à glissière standard - Porte-bouteille - Un compartiment à l’intérieur pour votre ordinateur - Dimension: 40 x 27.5 x 20.5 cm - Poids: 0.4 Kg - Couleur: Noir","AMERICAN-TOURISTER","https://www.mytek.tn/media/catalog/product/s/a/sac-a-dos-scolaire-lycee-americain-tourister-jungle.jpg"
"1769172974-9","https://www.mytek.tn/?srsltid=AfmBOorUF8V15Ux16W9yQjs1UW9DZv2mcC5BKSv12S7FHB3SzEhk6VHR","Sacs Scolaires & Trousses","https://www.mytek.tn/informatique/sacs-scolaires-trousses.html","Sac à Dos Scolaire AMERICAIN TOURISTER Triangle - Noir","https://www.mytek.tn/sac-a-dos-scolaire-americain-tourister-triangle-noir.html","Sac à Dos Scolaire AMERICAIN TOURISTER Triangle - Noir","279,000 DT","Sac à Dos Scolaire AMERICAIN TOURISTER Triangle - Sexe: Unisexe - Matière: 100% R-PET Polyester - Volume: 23 Litres - Bretelles: Bandoulières ergonomiques - Porte-bouteille - Un dos agréablement rembourré - Un compartiment principal - Une fermeture éclair à double sens - Dimension: 40 x 27.5 x 20.5 cm - Poids: 0.4 Kg - Couleur: Noir","AMERICAN-TOURISTER","https://www.mytek.tn/media/catalog/product/s/a/sac-a-dos-scolaire-americain-tourister-triangle-noir.jpg"
"1769172977-10","https://www.mytek.tn/?srsltid=AfmBOorUF8V15Ux16W9yQjs1UW9DZv2mcC5BKSv12S7FHB3SzEhk6VHR","Sacs Scolaires & Trousses","https://www.mytek.tn/informatique/sacs-scolaires-trousses.html","Sac à Dos Scolaire Lycée AMERICAIN TOURISTER UpBeat SAD 93G 001 - Bleu","https://www.mytek.tn/sac-a-dos-scolaire-lycee-americain-tourister-upbeat-sad-93g-001-bleu.html","Sac à Dos Scolaire Lycée AMERICAIN TOURISTER UpBeat SAD 93G 001 - Bleu","259,000 DT","Sac à Dos Scolaire Lycée AMERICAIN TOURISTER UpBeat SAD 93G 001 - Sexe: Unisexe - Matière: 100% Polyester - Volume: 20.5 Litres - 1 x Compartiment principal - Poignée(s) haute(s) - Fermetures à glissière - 1 x poche frontale - Bandoulières ergonomiques - Porte-bouteille - Pen loops - Dimension: 42 x 30 x 15 cm - Poids: 0.3 Kg - Couleur: Noir","AMERICAN-TOURISTER",""
