web-scraper-order,web-scraper-start-url,link,link-href,name,price,description,image_url-src
"1769331008-1","https://www.tunisianet.com.tn/596-smartphone-tunisie?page=40&order=product.price.desc","Smartphone Lesia Young 1 | 2Go / 16Go | Vert","https://www.tunisianet.com.tn/smartphone-tunisie/91032-smartphone-lesia-young-1-2go-16go-vert.html","Smartphone Lesia Young 1 | 2Go / 16Go | Vert","159,000 DT","Double SIM - Ecran 5.5"" IPS - Processeur Quad-core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 16 Go - Système d’exploitation : Android - Caméra Arrière : 5MP / Frontale : 2MP - 4G - Reconnaissance faciale - Capacité de Batterie 2500 mAh - Wifi, Bluetooth - Couleur Vert - Garantie 1 an","https://www.tunisianet.com.tn/455548-large/smartphone-lesia-young-1-2go-16go-vert.jpg"
"1769331011-2","https://www.tunisianet.com.tn/596-smartphone-tunisie?page=40&order=product.price.desc","Smartphone Lesia Young 1 | 2Go / 16Go | Bleu","https://www.tunisianet.com.tn/smartphone-tunisie/91033-smartphone-lesia-young-1-2go-16go-bleu.html","Smartphone Lesia Young 1 | 2Go / 16Go | Bleu","159,000 DT","Double SIM - Ecran 5.5"" IPS - Processeur Quad-core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 16 Go - Système d’exploitation : Android - Caméra Arrière : 5MP / Frontale : 2MP - 4G - Reconnaissance faciale - Capacité de Batterie 2500 mAh - Wifi, Bluetooth - Couleur Bleu - Garantie 1 an","https://www.tunisianet.com.tn/455543-large/smartphone-lesia-young-1-2go-16go-bleu.jpg"
"1769331013-3","https://www.tunisianet.com.tn/596-smartphone-tunisie?page=40&order=product.price.desc","Smartphone Lesia Young 6 4Go /16Go  - Gold","https://www.tunisianet.com.tn/smartphone-tunisie/88988-smartphone-lesia-young-6-4go-16go-noir.html","Smartphone Lesia Young 6 4Go /16Go  - Gold","179,000 DT","Double SIM - Ecran 6"" - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 16 Go - Android 13 - DCaméra Arrière : 5MP / Frontale : 2MP - Réseau 3G - Reconnaissance faciale - Batterie 3000 mAh - Couleur Gold - Garantie 1 an","https://www.tunisianet.com.tn/444798-large/smartphone-lesia-young-6-4go-16go-noir.jpg"
"1769331016-4","https://www.tunisianet.com.tn/596-smartphone-tunisie?page=40&order=product.price.desc","Smartphone Lesia Young 6 4Go /16Go  - Noir","https://www.tunisianet.com.tn/smartphone-tunisie/88987-smartphone-lesia-young-6-4go-16go-noir.html","Smartphone Lesia Young 6 4Go /16Go  - Noir","179,000 DT","Double SIM - Ecran 6"" - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 16 Go - Android 13 - DCaméra Arrière : 5MP / Frontale : 2MP - Réseau 3G - Reconnaissance faciale - Batterie 3000 mAh - Couleur Noir - Garantie 1 an","https://www.tunisianet.com.tn/444799-large/smartphone-lesia-young-6-4go-16go-noir.jpg"
"1769331018-5","https://www.tunisianet.com.tn/596-smartphone-tunisie?page=40&order=product.price.desc","Smartphone Lesia Young 6 4Go /16Go  - Silver","https://www.tunisianet.com.tn/smartphone-tunisie/88989-smartphone-lesia-young-6-4go-16go-silver.html","Smartphone Lesia Young 6 4Go /16Go  - Silver","179,000 DT","Double SIM - Ecran 6"" - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 16 Go - Android 13 - DCaméra Arrière : 5MP / Frontale : 2MP - Réseau 3G - Reconnaissance faciale - Batterie 3000 mAh - Couleur Silver - Garantie 1 an","https://www.tunisianet.com.tn/444797-large/smartphone-lesia-young-6-4go-16go-silver.jpg"
"1769331021-6","https://www.tunisianet.com.tn/596-smartphone-tunisie?page=40&order=product.price.desc","Smartphone Lesia Young 2 4Go 32Go  -BLEU NUIT","https://www.tunisianet.com.tn/smartphone-tunisie/88990-smartphone-lesia-young-2-4go-32go-bleu-nuit.html","Smartphone Lesia Young 2 4Go 32Go  -BLEU NUIT","199,000 DT","Double SIM - Ecran 6.56"" HD+ IPS - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 32 Go - Système d’exploitation : Android - DCaméra Arrière : 8MP / Frontale : 5MP - 4G - Reconnaissance faciale - Capteurs d'empreintes digitales latérale - Batterie 5000 mAh - Fast Charge 18 W - Couleur Bleu - Garantie 1 an","https://www.tunisianet.com.tn/444831-large/smartphone-lesia-young-2-4go-32go-bleu-nuit.jpg"
"1769331089-7","https://www.tunisianet.com.tn/596-smartphone-tunisie?page=15&order=product.price.desc","Smartphone Lesia Young 2 4Go 32Go -VIOLET","https://www.tunisianet.com.tn/smartphone-tunisie/88999-smartphone-lesia-young-2-4go-32go-violet.html","Smartphone Lesia Young 2 4Go 32Go -VIOLET","199,000 DT","Double SIM - Ecran 6.56"" HD+ IPS - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 32 Go - Système d’exploitation : Android - DCaméra Arrière : 8MP / Frontale : 5MP - 4G - Reconnaissance faciale - Capteurs d'empreintes digitales latérale - Batterie 5000 mAh - Fast Charge 18 W - Couleur Violet - Garantie 1 an","https://www.tunisianet.com.tn/444829-large/smartphone-lesia-young-2-4go-32go-violet.jpg"
"1769331091-8","https://www.tunisianet.com.tn/596-smartphone-tunisie?page=15&order=product.price.desc","Smartphone Lesia Young 2 4Go 32Go -Vert","https://www.tunisianet.com.tn/smartphone-tunisie/89000-smartphone-lesia-young-2-4go-32go-vert.html","Smartphone Lesia Young 2 4Go 32Go -Vert","199,000 DT","Double SIM - Ecran 6.56"" HD+ IPS - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 32 Go - Système d’exploitation : Android - DCaméra Arrière : 8MP / Frontale : 5MP - 4G - Reconnaissance faciale - Capteurs d'empreintes digitales latérale - Batterie 5000 mAh - Fast Charge 18 W - Couleur Vert - Garantie 1 an","https://www.tunisianet.com.tn/444839-large/smartphone-lesia-young-2-4go-32go-vert.jpg"
"1769331094-9","https://www.tunisianet.com.tn/596-smartphone-tunisie?page=15&order=product.price.desc","Smartphone Lesia Young 3 2+2Go 32Go  -SKY BLUE","https://www.tunisianet.com.tn/smartphone-tunisie/89002-smartphone-lesia-young-3-22go-32go-sky-blue.html","Smartphone Lesia Young 3 2+2Go 32Go  -SKY BLUE","209,000 DT","Double SIM - Ecran 6.56"" HD+ IPS - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 32 Go - Système d’exploitation : Android 13 - DCaméra Arrière : 8MP / Frontale : 5MP - 4G - Reconnaissance faciale - Capteurs d'empreintes digitales latérale - Batterie 5000 mAh - Fast Charge 18 W - Couleur Bleu - Garantie 1 an","https://www.tunisianet.com.tn/444851-large/smartphone-lesia-young-3-22go-32go-sky-blue.jpg"
"1769331097-10","https://www.tunisianet.com.tn/596-smartphone-tunisie?page=15&order=product.price.desc","Smartphone Lesia Young 3 2+2Go 32Go  -BLEU NUIT","https://www.tunisianet.com.tn/smartphone-tunisie/89001-smartphone-lesia-young-3-22go-32go-bleu-nuit.html","Smartphone Lesia Young 3 2+2Go 32Go  -BLEU NUIT","209,000 DT","Double SIM - Ecran 6.56"" HD+ IPS - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 32 Go - Système d’exploitation : Android 13 - DCaméra Arrière : 8MP / Frontale : 5MP - 4G - Reconnaissance faciale - Capteurs d'empreintes digitales latérale - Batterie 5000 mAh - Fast Charge 18 W - Couleur Bleu - Garantie 1 an","https://www.tunisianet.com.tn/444846-large/smartphone-lesia-young-3-22go-32go-bleu-nuit.jpg"
