web-scraper-order,web-scraper-start-url,link,link-href,name,price,description,image_url-src
"1769332632-1","https://www.tunisianet.com.tn/665-televiseurs?page=40&order=product.price.desc","TV 32"" ECOSAT LED HD / Noir / ECO32T2 + Cadeau Offert","https://www.tunisianet.com.tn/televiseurs/92101-tv-32-ecosat-led-hd-noir-eco32t2-cadeau-offert.html","TV 32"" ECOSAT LED HD / Noir / ECO32T2 + Cadeau Offert","389,000 DT","Résolution : 1366 x 768 Pixels LED HD - Taux de rafraîchissement : 60 Hz - Luminosité : 200 nits - Connecteurs : 3x HDMI, 2x USB, 1x Mini Av, 1x Prise Casque - Couleur : Gris - Garantie 2 ans 
+ Cadeau Offert
+ Livraison + Installation et Mise en Marche Gratuites
*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/461194-large/tv-32-ecosat-led-hd-noir-eco32t2-cadeau-offert.jpg"
"1769332634-2","https://www.tunisianet.com.tn/665-televiseurs?page=40&order=product.price.desc","TV VEGA 32"" HD / avec Récepteur intégré","https://www.tunisianet.com.tn/televiseurs/91369-tv-vega-32-hd-avec-recepteur-integre.html","TV VEGA 32"" HD / avec Récepteur intégré","399,000 DT","TV VEGA 32"" HD Récepteur intégré - Résolution : 1366 x 768 Pixels - Temps de réponse : 9.5ms - Luminosité : 180cd/m2 - Contraste : 3000:1 - Aspect ratio : 16:9 - Couleurs maximale : 16.7M - Sortie Audio : 2 × 8W - Google Play - NETFLIX - YouTube - Chromecast intégré - Fonctionne avec Google assistant - Angle de vue : 178°/178° - Connecteurs : 2x HDMI, 2x USB - Poids Net : 2.9 Kg - Dimensions (avec pieds) : 719.2 x 205 x 471.5 - Garantie 3ans*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/457175-large/tv-vega-32-hd-avec-recepteur-integre.jpg"
"1769332637-3","https://www.tunisianet.com.tn/665-televiseurs?page=40&order=product.price.desc","TV 32"" TELEFUNKEN C7 HD avec RECEPTEUR INTEGRE / Noir / TV32C7","https://www.tunisianet.com.tn/televiseurs/83599-tv-32-telefunken-c7-hd-recepteur-integre.html","TV 32"" TELEFUNKEN C7 HD avec RECEPTEUR INTEGRE / Noir / TV32C7","399,000 DT","TV 32"" TELEFUNKEN - Résolution : 1366 x 768 Pixels HD - Taux de rafraîchissement : 60 Hz - Luminosité : 200 nits - Dolby Digital + - Sortie Audio : 8W x 8W - Transmission Numérique Terrestre ""TNT"" - Connecteurs : 2x HDMI, 2x USB, 1x Mini Av, 1x Prise Casque - Dimensions : 720 x 188.5 x 480 - Couleur : Noir - Garantie 3ans 
+ Livraison + Installation et Mise en Marche Gratuites
*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/417015-large/tv-32-telefunken-c7-hd-recepteur-integre.jpg"
"1769332639-4","https://www.tunisianet.com.tn/665-televiseurs?page=40&order=product.price.desc","TV MAXWELL 32"" QLED HD AVEC RÉCEPTEUR INTÉGRÉ","https://www.tunisianet.com.tn/vente-tv-samsung-led-tunisie/91204-tv-maxwell-32-qled-hd-avec-recepteur-integre.html","TV MAXWELL 32"" QLED HD AVEC RÉCEPTEUR INTÉGRÉ","399,000 DT","TV MAXWELL 32"" M20 HD QLED avec Récepteur Intégré - Résolution : 1366 x 768 pixels HD - Taux de rafraichissement : 60Hz - Haut parleurs : 2 × 8W - Contraste : 3000:1 - Luminosité : 250 nits - Audio Dolby - Frameless - Connecteurs : 2 x HDMI, 1x USB,1x AV IN, 1x DVB_S/S2, 1 x DVB_T/C/T2, 1x COAXIAL - Dimensions : 715.2 x 131.9 x 471.8 mm - Garantie 5 ans*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/456641-large/tv-maxwell-32-qled-hd-avec-recepteur-integre.jpg"
"1769332641-5","https://www.tunisianet.com.tn/665-televiseurs?page=40&order=product.price.desc","TV IFFALCON 32"" S55 HD Smart Google TV","https://www.tunisianet.com.tn/televiseurs/91968-tv-iffalcon-32-s55-hd-smart-google-tv.html","TV IFFALCON 32"" S55 HD Smart Google TV","459,000 DT","TV IFFALCON 32"" S55 HD Smart - Résolution : 1366 x 768 Pixels - Système d'Exploitation : Google TV - Taux de rafraîchissement : 60 Hz - Puissance Audio : 2 x 8W - HDR 10 - Rapport de contraste : 3000:1 - Dolby Audio immersif - Google Cast - Dimensions (LxHxP) : 715 x 180 x 465mm (avec support), 715 x 75 x 422 mm (Sans Support) - Connecteurs : 2x HDMI, 1x USB 1x Sortie Audio - Montage mural VESA : 100 x 100 mm - Connectivité : Bluetooth 5.0, Wifi 4 - Couleur : Noir - Garantie 2ans
+ Livraison + Installation et Mise en Marche Gratuite*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/460345-large/tv-iffalcon-32-s55-hd-smart-google-tv.jpg"
"1769332644-6","https://www.tunisianet.com.tn/665-televiseurs?page=40&order=product.price.desc","Téléviseur Newstar Smart 32"" HD Android avec Récepteur intégré (NEWSTAR-32553S)","https://www.tunisianet.com.tn/televiseurs/60524-televiseur-newstar-smart-32-hd-android-avec-recepteur-integre-newstar-32553s.html","Téléviseur Newstar Smart 32"" HD Android avec Récepteur intégré (NEWSTAR-32553S)","499,000 DT","TV Newstar 32"" HD LED -  Résolution 1366 x 768 pixels - Smart TV - Android - Récepteur intégré - Wifi - Bluetooth - 1x RJ45 - Netflix - Youtube - HBB TV - Google assistance - Aspect ratio 16:9 - Haut Parleur 2x 6W - Réduction Dynamique de bruit - Verrouillage enfants - 2x HDMI -1x VGA - 2x USB - Port AV - 1x Sortie Casque - Garantie 1 an

+ Livraison + Installation et Mise en Marche Gratuites *(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/385317-large/televiseur-newstar-smart-32-hd-android-avec-recepteur-integre-newstar-32553s.jpg"
"1769332646-7","https://www.tunisianet.com.tn/665-televiseurs?page=40&order=product.price.desc","TV IRIS LED 32"" HD SMART TV / 32C3030","https://www.tunisianet.com.tn/televiseurs/90075-tv-iris-led-32-hd-smart-tv-32c3030.html","TV IRIS LED 32"" HD SMART TV / 32C3030","499,000 DT","Téléviseur IRIS LED 32"" HD - Résolution : 1366 x 768 Pixels - Smart TV - Fonctionne avec Coolink - Connectivité : Wi-Fi, Bluetooth - Connecteurs : 2 x HDMI 1.4, 2 x USB2.0 ,1x RJ45 - Couleur : Noir - Garantie 2 ans
+ Livraison + Installation et Mise en Marche Gratuites

*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/451744-large/tv-iris-led-32-hd-smart-tv-32c3030.jpg"
"1769332649-8","https://www.tunisianet.com.tn/665-televiseurs?page=40&order=product.price.desc","TELEEVISEUR TELEFUNKEN E3F 32"" HD GOOGLE TV + RECEPTEUR INTEGRE","https://www.tunisianet.com.tn/tv-son-photos/89541-teleeviseur-telefunken-e3f-32-hd-google-tv-recepteur-integre.html","TELEEVISEUR TELEFUNKEN E3F 32"" HD GOOGLE TV + RECEPTEUR INTEGRE","559,000 DT","Téléviseur TELEFUNKEN 32"" LED HD - Résolution : 1366 x 768 Pixels HD - Système d'explopitation : Google TV - Processeur Quad Core ARM Cortex A55 (1.5GHz) - Assistant Google - Dolby Audio - Sortie Audio : 2 x 10W - Connecteurs : 2x HDMI, 2x USB, 1x RJ45 - Fonction : trouver ma télécommande - Connectivité : Wi-Fi Dual (2.4G/5G), Bluetooth 5 - Avec Récepteur intégré - Vesa : 200 x 100 mm - Dimensions : 71.80 x 7.07 x 42.68 cm - Garantie 3 ans","https://www.tunisianet.com.tn/447625-large/teleeviseur-telefunken-e3f-32-hd-google-tv-recepteur-integre.jpg"
"1769332651-9","https://www.tunisianet.com.tn/665-televiseurs?page=40&order=product.price.desc","TELEEVISEUR TELEFUNKEN 32"" LED HD GOOGLE TV NOIR + RECEPTEUR INTEGRE","https://www.tunisianet.com.tn/tv-son-photos/78446-teleeviseur-telefunken-32-led-hd-google-tv-noir-recepteur-integre.html","TELEEVISEUR TELEFUNKEN 32"" LED HD GOOGLE TV NOIR + RECEPTEUR INTEGRE","559,000 DT","Téléviseur TELEFUNKEN 32"" LED HD - Taux de rafraîchissement : 60 Hz - Résolution : 1366 x 768 Pixels HD - Système d'exploitation : Google TV - Processeur Quad Core 1.5GHz - Assistant Google - Luminosité : 200 nits - Réglage luminosité automatique - Dolby Digital+ - Sortie Audio : 10W x 10W - Connecteurs : 2x HDMI, 2x USB, 1x RJ45 - Connectivité : Wi-Fi Dual (2.4G/5G), Bluetooth 5.1 - Récepteur intégré - Dimensions : 71.80 x 7.07 x 42.68cm - Couleur : Noir - Garantie 3 ans","https://www.tunisianet.com.tn/388810-large/teleeviseur-telefunken-32-led-hd-google-tv-noir-recepteur-integre.jpg"
"1769332746-10","https://www.tunisianet.com.tn/665-televiseurs?page=6&order=product.price.desc","Téléviseur TELEFUNKEN 40"" Full HD avec Récepteur intégré / TV40C7","https://www.tunisianet.com.tn/televiseurs/85564-televiseur-telefunken-40-full-hd-avec-recepteur-integre-tv40c7.html","Téléviseur TELEFUNKEN 40"" Full HD avec Récepteur intégré / TV40C7","569,000 DT","Téléviseur TELEFUNKEN 40"" Full HD - Résolution : 1920 x 1080 Pixels - Taux de rafraîchissement : 60 Hz - Luminosité : 200 nits - Transmission Numérique Terrestre ""TNT"" - Dolby Digital + - Sortie Audio : 8W x 8W - Connecteurs : 2x HDMI, 2x USB, 1x Mini Av, 1x Prise Casque 3.5mm - Récepteur intégré - Dimensions : 892.0 x 510.6 x 74.8mm - Garantie 3ans *(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/427083-large/televiseur-telefunken-40-full-hd-avec-recepteur-integre-tv40c7.jpg"
